"Início dos relatórios","Término dos relatórios","Nome do anúncio","Veiculação do anúncio",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)","Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Custo por candidatura enviada (BRL)","Apps enviados","Inscrições no app para celular enviadas","Apps do site enviados","Candidaturas enviadas offline","Inscrições na Meta enviadas","Finalizações de compra iniciadas","Finalizações de compra iniciadas no app para celular","Finalizações de compra iniciadas no site","Finalizações de pagamento iniciadas offline","Finalizações da compra iniciadas na Meta","Custo por finalização de compra iniciada (BRL)",Compras,"Compras no app","Compras no site","Compras offline","Compras na Meta","Custo por compra (BRL)","Nome da campanha","Identificação da campanha","Nome do conjunto de anúncios","Identificação do conjunto de anúncios"
2026-03-09,2026-03-15,"AD04 [MDA] [VID] VENDA - PRA QUÊ EU VOU FAZER",not_delivering,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[06/02/26] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [5]",120241047703720163,"00 - Advantage - All ADS",120241047703780163
2026-03-09,2026-03-15,"AD57 [MDA] [VID] VENDA - VOCÊ QUER VER UMA COISA BIZARRA",not_delivering,,,0,0,,80,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD57 [MDA] [VID] VENDA - VOCÊ QUER VER UMA COISA BIZARRA",120241193689570163
2026-03-09,2026-03-15,"AD13 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V3",not_delivering,,,0,0,,100,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[24/02/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [1]",120241896593460163,"00 - Advantage+ [VSL A] - AD13 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V3",120241896644310163
2026-03-09,2026-03-15,"AD194 [MDA] [VID] VENDA - NÃO PERDE TEMPO",not_delivering,,,0,0,,"Usando orçamento da campanha",0,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[08/03/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [CBO] [AD194] [6]",120242432842200163,"00 - Advantage+ [VSL C] - AD194 [MDA] [VID] VENDA - NÃO PERDE TEMPO [1]",120242432842420163
2026-03-09,2026-03-15,"AD100 [MDA] [VID] VENDA - NO VÍDEO QUE EU MOSTREI V4",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,6841,1.322467,180.46,80,Diário,360.92,"Na média","Na média","Na média",9047,39.893887,74,4.877297,0.817951,113,1.249033,3.193982,,,,,,,8,,8,,,45.115,2,,2,,,180.46,"[24/02/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [1]",120241896593460163,"00 - Advantage+ [VSL A] - AD100 [MDA] [VID] VENDA - NO VÍDEO QUE EU MOSTREI V4",120242436758640163
2026-03-09,2026-03-15,"AD50 [MDA] [VID] VENDA - ESSE CARA PEDIU A MINHA V2",not_delivering,,,2553,1.132393,,50,Diário,73.91,"Abaixo da média – 35% mais baixos dos anúncios","Na média","Na média",2891,25.565548,23,3.213478,0.795572,28,0.968523,2.639643,,,,,,,3,,3,,,24.636667,,,,,,,"[13/12/25] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [1]",120238621687030163,"00 - Advantage+ [VSL C] - AD50 [MDA] [VID] VENDA - ESSE CARA PEDIU A MINHA V2",120242437488170163
2026-03-09,2026-03-15,"AD10 [MDA] [VID] VENDA - VOCÊ PODE CRIAR UM CANAL",active,4,actions:offsite_conversion.fb_pixel_purchase,3962,1.751641,78.7525,80,Diário,315.01,"Abaixo da média – 35% mais baixos dos anúncios","Na média","Na média",6940,45.39049,56,5.625179,0.806916,86,1.239193,3.662907,,,,,,,12,,12,,,26.250833,4,,4,,,78.7525,"[24/02/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [1]",120241896593460163,"00 - Advantage+ [VSL A] - AD10 [MDA] [VID] VENDA - VOCÊ PODE CRIAR UM CANAL",120242524118840163
2026-03-09,2026-03-15,"AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5",not_delivering,2,actions:offsite_conversion.fb_pixel_purchase,16902,1.280973,434.785,"Usando orçamento da campanha",0,869.57,"Na média","Na média","Na média",21651,40.163041,229,3.797249,1.057688,474,2.189275,1.834536,,,,,,,29,,29,,,29.985172,2,,2,,,434.785,"[10/03/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [CBO] [AD17] [6]",120242524354600163,"00 - Advantage - AD17 [MDA] [VID] VENDA - FAÇA DO YOUTUBE A SUA PROFISSÃO V5 [1]",120242524354650163
2026-03-09,2026-03-15,"AD154 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 06",not_delivering,,,0,0,,100,Diário,0,–,–,–,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,"[18/11/25] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [1]",120237047550310163,"00 -  Advantage+ [VSL B] - AD154 [MDA] [VID] VENDA - CAIO EU LARGO MEU TRABALHO 06",120238011615520163
2026-03-09,2026-03-15,"AD178 [MDA] [VID] VENDA - ESSA É A ÚLTIMA CHANCE",not_delivering,1,actions:offsite_conversion.fb_pixel_purchase,2693,1.273301,147.8,100,Diário,147.8,"Abaixo da média – 35% mais baixos dos anúncios","Na média","Na média",3429,43.102945,34,4.347059,0.991543,48,1.399825,3.079167,,,,,,,3,,3,,,49.266667,1,,1,,,147.8,"[13/12/25] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [1]",120238621687030163,"00 - Advantage+ [VSL C] - AD178 [MDA] [VID] VENDA - ESSA É A ÚLTIMA CHANCE",120238621687160163
